,Mobility Profile
2016-01-01 06:36:00+00:00,272903.7235281479
2016-01-01 06:37:00+00:00,262411.1152354048
2016-01-01 06:38:00+00:00,250570.50555620267
2016-01-01 06:39:00+00:00,245813.61001922563
2016-01-01 06:40:00+00:00,245813.60887916558
2016-01-01 06:41:00+00:00,288060.74092670134
2016-01-01 06:42:00+00:00,297769.30746718124
2016-01-01 06:43:00+00:00,297769.3086072413
2016-01-01 06:44:00+00:00,315936.5900539822
2016-01-01 06:45:00+00:00,317569.0398468398
2016-01-01 06:46:00+00:00,317569.0330064798
2016-01-01 06:47:00+00:00,336179.3293312361
2016-01-01 06:48:00+00:00,367970.88486305624
2016-01-01 06:49:00+00:00,378514.0475890894
2016-01-01 06:50:00+00:00,357353.99247185065
2016-01-01 06:51:00+00:00,360981.3571260336
2016-01-01 06:52:00+00:00,368334.0499242662
2016-01-01 06:53:00+00:00,378359.4287922722
2016-01-01 06:54:00+00:00,399024.0808986726
2016-01-01 06:55:00+00:00,399281.8809680297
2016-01-01 06:56:00+00:00,392373.521561421
2016-01-01 06:57:00+00:00,392373.51814124093
2016-01-01 06:58:00+00:00,387026.3971982098
2016-01-01 06:59:00+00:00,378645.38957907335
2016-01-01 07:00:00+00:00,375227.7288617125
2016-01-01 07:01:00+00:00,371447.5948173578
2016-01-01 07:02:00+00:00,369993.93217330094
2016-01-01 07:03:00+00:00,359129.712383065
2016-01-01 07:04:00+00:00,378769.42797622114
2016-01-01 07:05:00+00:00,401033.1715847857
2016-01-01 07:06:00+00:00,424621.64720662794
2016-01-01 07:07:00+00:00,406291.76458406064
2016-01-01 07:08:00+00:00,400975.12519595976
2016-01-01 07:09:00+00:00,400975.1331534197
2016-01-01 07:10:00+00:00,404517.80851882417
2016-01-01 07:11:00+00:00,441931.21007673535
2016-01-01 07:12:00+00:00,404700.7356891278
2016-01-01 07:13:00+00:00,343683.85859606817
2016-01-01 07:14:00+00:00,370516.2166968622
2016-01-01 07:15:00+00:00,337890.79134730244
2016-01-01 07:16:00+00:00,349520.90619437565
2016-01-01 07:17:00+00:00,355149.7503571141
2016-01-01 07:18:00+00:00,343315.0935714826
2016-01-01 07:19:00+00:00,294645.1457779066
2016-01-01 07:20:00+00:00,307575.56011651806
2016-01-01 07:21:00+00:00,292549.64240661706
2016-01-01 07:22:00+00:00,301889.13313393475
2016-01-01 07:23:00+00:00,304923.39630041056
2016-01-01 07:24:00+00:00,283956.9452083207
2016-01-01 07:25:00+00:00,282580.2430511214
2016-01-01 07:26:00+00:00,298946.25275739224
2016-01-01 07:27:00+00:00,309779.11501858314
2016-01-01 07:28:00+00:00,324809.8815179313
2016-01-01 07:29:00+00:00,332651.5941477441
2016-01-01 07:30:00+00:00,345249.1511669762
2016-01-01 07:31:00+00:00,350297.0751665444
2016-01-01 07:32:00+00:00,368570.6445463766
2016-01-01 07:33:00+00:00,380956.292114718
2016-01-01 07:34:00+00:00,378026.50726245076
2016-01-01 07:35:00+00:00,373257.0022429633
2016-01-01 07:36:00+00:00,343701.7303455776
2016-01-01 07:37:00+00:00,352384.21744201495
2016-01-01 07:38:00+00:00,363503.44825902546
2016-01-01 07:39:00+00:00,359099.5505367887
2016-01-01 07:40:00+00:00,367200.1864557986
2016-01-01 07:41:00+00:00,344914.97321220516
2016-01-01 07:42:00+00:00,337821.26862292
2016-01-01 07:43:00+00:00,310847.88052951294
2016-01-01 07:44:00+00:00,326782.94136052614
2016-01-01 07:45:00+00:00,338180.00268010853
2016-01-01 07:46:00+00:00,329825.6645451914
2016-01-01 07:47:00+00:00,342157.45004424127
2016-01-01 07:48:00+00:00,342157.45459136134
2016-01-01 07:49:00+00:00,354141.88498308696
2016-01-01 07:50:00+00:00,372273.5226424727
2016-01-01 07:51:00+00:00,391997.17769813805
2016-01-01 07:52:00+00:00,391812.5059098895
2016-01-01 07:53:00+00:00,389684.44810575846
2016-01-01 07:54:00+00:00,371751.69604578096
2016-01-01 07:55:00+00:00,378092.90900825814
2016-01-01 07:56:00+00:00,383649.36461510044
2016-01-01 07:57:00+00:00,352853.622668152
2016-01-01 07:58:00+00:00,343402.74033769564
2016-01-01 07:59:00+00:00,411625.9230957022
2016-01-01 08:00:00+00:00,401288.4968083706
2016-01-01 08:01:00+00:00,414566.8029044737
2016-01-01 08:02:00+00:00,438613.06134189543
2016-01-01 08:03:00+00:00,417743.88665105496
2016-01-01 08:04:00+00:00,407010.25063835626
2016-01-01 08:05:00+00:00,389400.21891378355
2016-01-01 08:06:00+00:00,412875.2780922919
2016-01-01 08:07:00+00:00,400020.045298948
2016-01-01 08:08:00+00:00,391126.5031449976
2016-01-01 08:09:00+00:00,434998.6634639303
2016-01-01 08:10:00+00:00,434534.0501531663
2016-01-01 08:11:00+00:00,463846.5634896838
2016-01-01 08:12:00+00:00,438465.42571663926
2016-01-01 08:13:00+00:00,397003.48754408106
2016-01-01 08:14:00+00:00,427587.79708141566
2016-01-01 08:15:00+00:00,426264.7832706392
2016-01-01 08:16:00+00:00,420696.2223391225
2016-01-01 08:17:00+00:00,440298.4263999699
2016-01-01 08:18:00+00:00,430220.4612884518
2016-01-01 08:19:00+00:00,435554.0228768946
2016-01-01 08:20:00+00:00,458695.0512749773
2016-01-01 08:21:00+00:00,445560.5386404241
2016-01-01 08:22:00+00:00,454408.310447227
2016-01-01 08:23:00+00:00,468519.36520812544
2016-01-01 08:24:00+00:00,469167.02071254374
2016-01-01 08:25:00+00:00,458361.9762540213
2016-01-01 08:26:00+00:00,486028.0668463819
2016-01-01 08:27:00+00:00,504273.69021405873
2016-01-01 08:28:00+00:00,537390.6428604858
2016-01-01 08:29:00+00:00,543460.6972104243
2016-01-01 08:30:00+00:00,568876.2010760048
2016-01-01 08:31:00+00:00,573735.1042692602
2016-01-01 08:32:00+00:00,588643.8007946449
2016-01-01 08:33:00+00:00,590918.7688506639
2016-01-01 08:34:00+00:00,602731.2787880267
2016-01-01 08:35:00+00:00,613543.6406788621
2016-01-01 08:36:00+00:00,592755.3003836484
2016-01-01 08:37:00+00:00,598159.5940890645
2016-01-01 08:38:00+00:00,618916.1092630895
2016-01-01 08:39:00+00:00,639313.16609125
2016-01-01 08:40:00+00:00,620910.9031649546
2016-01-01 08:41:00+00:00,620910.9031649546
2016-01-01 08:42:00+00:00,635846.9303623213
2016-01-01 08:43:00+00:00,665613.9290752539
2016-01-01 08:44:00+00:00,666619.0578374923
2016-01-01 08:45:00+00:00,641997.1042285362
2016-01-01 08:46:00+00:00,651281.7167254253
2016-01-01 08:47:00+00:00,666331.1941165206
2016-01-01 08:48:00+00:00,665451.7924453556
2016-01-01 08:49:00+00:00,665573.4064236297
2016-01-01 08:50:00+00:00,643110.3826938088
2016-01-01 08:51:00+00:00,643110.3860805387
2016-01-01 08:52:00+00:00,608820.1159846314
2016-01-01 08:53:00+00:00,613177.5672690307
2016-01-01 08:54:00+00:00,652694.5299441689
2016-01-01 08:55:00+00:00,671463.0364974691
2016-01-01 08:56:00+00:00,657542.8385084092
2016-01-01 08:57:00+00:00,692257.9257323521
2016-01-01 08:58:00+00:00,742182.7712994253
2016-01-01 08:59:00+00:00,729189.3610759492
2016-01-01 09:00:00+00:00,690480.5257419166
2016-01-01 09:01:00+00:00,654093.8446656851
2016-01-01 09:02:00+00:00,696542.5970215629
2016-01-01 09:03:00+00:00,701390.4779256277
2016-01-01 09:04:00+00:00,690120.2385867939
2016-01-01 09:05:00+00:00,692253.6473351987
2016-01-01 09:06:00+00:00,669341.7719136685
2016-01-01 09:07:00+00:00,682355.1157648856
2016-01-01 09:08:00+00:00,680198.65889587
2016-01-01 09:09:00+00:00,709657.5764208481
2016-01-01 09:10:00+00:00,697411.6540789886
2016-01-01 09:11:00+00:00,713426.6395103155
2016-01-01 09:12:00+00:00,723960.3057028018
2016-01-01 09:13:00+00:00,745665.5749043329
2016-01-01 09:14:00+00:00,765644.2627827366
2016-01-01 09:15:00+00:00,786940.2054722325
2016-01-01 09:16:00+00:00,758621.975661729
2016-01-01 09:17:00+00:00,759083.4944862872
